Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
16:37:07,37.48,26.61,-8.01,-15.74,41.48,26.61,36.34,28.9
16:37:07,38.05,27.75,-2,-16.02,43.49,30.04,39.48,36.05
16:37:07,38.05,27.75,1.72,-16.31,44.06,30.04,39.48,36.05
16:37:07,38.05,27.75,2,-18.02,42.34,30.04,39.48,36.05
16:37:07,38.05,27.75,0,-19.45,38.91,30.04,39.48,36.05
16:37:07,38.05,27.75,-4.58,-20.6,35.19,30.04,39.48,36.05
16:37:07,38.05,27.47,-8.3,-20.89,32.04,30.04,39.48,35.76
16:37:07,28.04,20.89,-10.3,-19.74,30.61,28.61,37.77,35.48
16:37:07,-14.59,-5.44,-13.45,-20.6,28.04,1.72,10.87,13.73
16:37:07,-20.89,-9.73,-20.03,-23.17,22.89,-10.3,-1.72,-6.87
16:37:07,-20.89,-9.73,-25.46,-25.75,19.45,-10.3,-1.72,-7.15
16:37:07,-20.89,-9.73,-27.18,-27.18,20.03,-10.3,-1.72,-7.15
16:37:07,-20.89,-9.73,-25.75,-27.18,22.32,-10.59,-1.72,-7.15
16:37:07,-20.89,-9.73,-22.6,-26.89,26.04,-10.59,-1.72,-7.15
16:37:07,-20.89,-9.73,-18.31,-26.32,29.18,-10.59,-1.72,-7.15
16:37:07,-18.88,-8.01,-14.31,-26.89,31.19,-10.3,-1.72,-7.15
16:37:07,13.16,18.02,-10.59,-27.18,33.47,7.72,18.6,6.29
16:37:07,26.04,30.9,-5.44,-26.89,36.62,30.9,40.05,36.05
16:37:07,26.04,31.19,0,-26.89,39.48,31.19,40.34,37.77
16:37:07,26.32,31.19,1.43,-26.89,40.05,31.19,40.34,37.77
16:37:07,26.04,31.19,1.43,-26.61,39.2,31.19,40.34,37.77
16:37:07,26.04,30.9,-0.29,-26.61,36.91,31.19,40.34,37.48
16:37:07,26.04,30.9,-3.15,-26.32,34.9,31.19,40.05,37.48
16:37:07,26.04,30.9,-6.01,-26.04,33.47,31.19,40.05,37.48
16:37:07,10.59,13.16,-9.16,-26.04,32.04,23.17,33.19,34.05
16:37:07,-10.01,-12.87,-11.73,-24.89,31.76,-11.73,2,2.57
16:37:07,-10.3,-14.88,-14.88,-22.89,31.19,-16.88,-2.86,-6.87
16:37:07,-10.3,-14.88,-14.59,-20.31,33.19,-16.88,-2.86,-6.87
16:37:07,-10.3,-14.88,-12.02,-18.02,36.05,-16.88,-2.86,-6.87
16:37:07,-10.3,-14.88,-8.87,-16.88,38.91,-16.88,-2.86,-6.87
16:37:07,-10.3,-14.88,-4.58,-16.59,41.2,-16.88,-2.86,-6.87
16:37:07,-10.3,-14.88,0,-16.59,43.77,-16.88,-2.86,-6.87
16:37:07,-4.86,-9.16,3.43,-16.31,46.06,-15.16,-0.57,-6.29
16:37:07,19.17,21.17,6.87,-16.02,47.49,15.74,29.18,22.6
16:37:07,22.32,28.9,11.73,-16.02,49.78,28.61,40.05,42.06
16:37:07,22.32,28.9,15.74,-15.74,51.21,28.61,40.05,42.06
16:37:07,22.32,28.9,15.74,-16.02,49.78,28.61,39.77,42.06
16:37:07,22.32,28.9,14.88,-16.31,48.07,28.61,39.77,42.06
16:37:07,22.32,28.9,12.59,-17.17,45.2,28.61,40.05,42.06
16:37:07,22.6,29.18,8.3,-18.02,42.06,28.9,40.05,42.34
16:37:07,21.46,27.75,3.72,-19.17,39.48,28.9,40.05,42.34
16:37:07,-5.72,0.86,-0.86,-21.17,36.05,7.44,19.45,28.9
16:37:07,-19.17,-20.6,-7.72,-24.03,31.19,-20.31,-10.87,-5.72
16:37:07,-19.17,-21.46,-13.73,-25.75,27.18,-20.89,-12.02,-8.87
16:37:07,-19.17,-21.46,-15.16,-25.75,26.89,-20.89,-12.02,-8.87
16:37:07,-19.17,-21.46,-12.87,-24.03,29.75,-20.89,-12.02,-8.87
16:37:07,-19.17,-21.46,-8.3,-21.46,34.62,-20.89,-12.02,-8.87
16:37:07,-19.17,-21.46,-1.72,-19.17,39.77,-20.89,-12.02,-8.87
16:37:07,-19.17,-21.17,4.58,-16.59,44.92,-20.89,-12.02,-8.87
16:37:07,10.3,0.29,10.3,-15.16,48.35,-9.44,0.86,-2.86
16:37:07,46.35,30.04,15.45,-14.02,51.78,30.33,40.63,33.19
16:37:07,46.92,31.47,21.17,-12.02,55.79,34.62,44.06,40.34
16:37:07,46.92,31.47,24.6,-10.3,57.79,34.62,44.06,40.34
16:37:07,46.92,31.47,25.18,-9.44,58.08,34.62,44.35,40.34
16:37:07,46.92,31.47,22.03,-9.16,56.08,34.62,44.35,40.34
16:37:07,46.92,31.47,16.31,-8.3,53.22,34.62,44.06,40.34
16:37:07,46.92,31.19,11.73,-7.15,51.21,34.62,44.06,40.05
16:37:07,34.05,21.74,7.72,-6.29,49.21,32.04,41.48,39.48
16:37:07,-12.87,-11.73,5.15,-4.86,48.35,-2,7.44,12.59
16:37:07,-18.88,-16.88,2.29,-3.43,48.07,-14.59,-6.58,-7.72
16:37:07,-18.88,-16.88,1.43,-1.43,49.21,-14.59,-6.58,-8.01
16:37:07,-18.88,-16.88,3.15,-0.86,51.21,-14.59,-6.58,-8.01
16:37:07,-18.88,-16.88,6.29,-1.14,53.5,-14.59,-6.58,-8.01
16:37:07,-18.6,-16.88,10.59,-1.14,57.51,-14.59,-6.58,-8.01
16:37:07,-18.6,-16.88,15.74,-2,60.94,-14.59,-6.58,-8.01
16:37:07,-15.16,-12.87,19.17,-4.29,60.94,-14.59,-6.29,-7.72
16:37:07,19.74,22.03,22.03,-6.01,60.94,10.59,21.74,12.87
16:37:07,29.75,36.91,24.89,-7.72,61.8,34.05,43.77,44.35
16:37:07,29.75,37.19,27.18,-10.3,61.51,34.05,43.77,45.2
16:37:07,29.75,37.19,25.75,-12.59,58.36,34.05,43.77,45.2
16:37:07,29.75,37.19,22.03,-14.59,54.36,34.05,43.77,45.2
16:37:07,29.75,37.19,17.45,-16.88,49.5,34.05,43.77,45.2
16:37:07,30.04,37.19,10.87,-20.03,43.49,34.33,43.77,45.49
16:37:07,30.04,36.91,3.72,-23.17,38.34,34.33,44.06,45.49
16:37:07,9.73,12.59,-1.72,-25.18,34.62,23.46,32.62,39.2
16:37:07,-10.01,-18.88,-7.72,-26.04,31.76,-10.87,-2.86,1.43
16:37:07,-10.01,-20.89,-14.02,-26.89,28.61,-14.31,-6.87,-7.15
16:37:07,-10.01,-20.89,-16.31,-27.18,28.32,-14.31,-6.87,-7.15
16:37:07,-10.01,-20.89,-14.88,-26.89,30.61,-14.31,-6.87,-7.15
16:37:07,-10.01,-20.89,-12.3,-27.75,32.9,-14.31,-6.87,-7.15
16:37:07,-10.01,-20.89,-8.01,-28.32,34.9,-14.31,-6.87,-7.15
16:37:07,-10.01,-20.89,-3.72,-27.75,38.05,-14.31,-6.87,-7.15
16:37:07,3.15,-5.72,0,-26.89,41.48,-9.44,-0.57,-4.58
16:37:07,36.62,30.33,4.01,-25.18,44.92,29.47,38.91,31.47
16:37:07,38.62,36.34,9.44,-23.17,48.64,39.77,47.49,46.92
16:37:07,38.62,36.34,13.45,-21.46,51.21,39.77,47.49,46.92
16:37:07,38.62,36.34,12.3,-21.74,49.78,39.77,47.49,46.92
16:37:07,38.34,36.34,8.01,-22.89,46.06,39.48,47.49,46.92
16:37:07,38.34,36.34,2.57,-23.46,42.34,39.48,47.49,46.92
16:37:07,38.34,36.34,-1.72,-22.89,39.48,39.48,47.49,46.92
16:37:07,29.18,27.75,-6.01,-22.89,36.62,38.62,46.35,46.63
16:37:07,-27.47,-20.31,-10.3,-22.89,34.05,2.57,11.44,20.03
16:37:07,-40.91,-34.62,-14.31,-23.46,32.04,-25.18,-15.74,-17.45
16:37:07,-40.91,-34.62,-18.6,-23.75,29.75,-25.46,-16.02,-18.88
16:37:07,-40.91,-34.62,-20.31,-24.6,29.75,-25.46,-16.02,-18.88
16:37:07,-40.91,-34.62,-18.88,-24.89,31.76,-25.46,-16.02,-18.88
16:37:07,-40.91,-34.62,-15.16,-24.89,34.9,-25.46,-16.02,-18.88
16:37:07,-40.91,-34.62,-10.87,-25.46,37.77,-25.46,-16.02,-18.88
16:37:07,-39.77,-33.19,-7.72,-26.61,39.2,-25.18,-16.02,-18.88
16:37:07,-4.29,-4.29,-4.29,-27.75,40.63,-4.58,5.15,-6.01
16:37:07,18.6,18.02,-1.14,-28.9,41.48,32.33,38.62,31.76
16:37:07,18.6,18.6,2.86,-30.33,42.92,33.76,39.48,35.19
16:37:07,18.6,18.31,5.15,-31.47,42.92,33.76,39.48,35.19
16:37:07,18.6,18.6,4.58,-32.62,41.2,33.76,39.48,35.19
16:37:07,18.6,18.6,1.43,-34.05,37.77,33.76,39.48,35.19
16:37:07,18.6,18.6,-4.01,-36.34,32.04,33.76,39.48,35.19
16:37:07,18.6,18.6,-10.3,-38.05,27.18,33.76,39.48,35.19
16:37:07,6.58,6.87,-16.02,-39.48,23.75,28.61,34.33,32.62
16:37:07,-13.16,-12.59,-20.03,-40.63,20.89,-1.43,3.72,4.01
16:37:07,-13.45,-14.02,-25.75,-42.06,17.17,-7.44,-2.57,-6.29
16:37:07,-13.45,-14.02,-29.47,-44.06,14.88,-7.44,-2.57,-6.29
16:37:07,-13.45,-14.02,-28.61,-45.2,15.16,-7.44,-2.57,-6.29
16:37:07,-13.45,-14.02,-25.18,-46.06,16.59,-7.44,-2.57,-6.29
16:37:07,-13.45,-14.02,-20.03,-46.06,19.17,-7.44,-2.57,-6.29
16:37:07,-13.45,-14.02,-15.45,-46.35,21.46,-7.44,-2.57,-6.29
16:37:07,-7.44,-5.15,-10.59,-46.63,22.6,-5.15,0,-5.44
16:37:07,24.89,38.05,-5.72,-46.63,24.03,31.76,38.62,28.04
16:37:07,30.33,48.64,-0.29,-46.63,25.18,48.07,53.5,52.64
16:37:07,30.33,48.92,3.43,-47.49,24.89,48.07,53.79,52.93
16:37:07,30.33,48.92,2,-49.78,21.17,48.07,53.79,52.93
16:37:07,30.33,48.92,-0.86,-51.5,16.59,48.07,53.79,52.93
16:37:07,30.33,48.92,-4.29,-52.07,12.59,48.07,53.79,52.93
16:37:07,30.33,48.92,-8.87,-52.36,8.58,48.07,53.79,52.93
16:37:07,28.32,46.06,-12.02,-52.64,5.44,48.07,53.79,52.93
16:37:07,-11.44,12.3,-14.59,-52.07,3.72,28.04,34.62,40.91
16:37:07,-31.19,-9.44,-17.17,-51.5,2,-6.01,1.43,3.43
16:37:07,-31.19,-10.3,-20.03,-50.64,0.57,-7.44,0,-0.86
16:37:07,-31.19,-10.3,-18.31,-48.07,2.86,-7.44,0,-0.86
16:37:07,-31.19,-10.3,-14.59,-46.35,5.72,-7.44,0,-0.86
16:37:07,-31.19,-10.3,-10.59,-44.92,8.87,-7.44,0,-0.86
16:37:07,-31.19,-10.3,-5.15,-43.49,12.02,-7.44,0,-0.86
16:37:07,-31.19,-9.73,0.86,-41.77,15.45,-7.44,0,-0.86
16:37:07,-3.15,11.73,6.29,-40.91,18.02,0.57,8.58,3.15
16:37:07,32.62,30.9,10.01,-40.63,19.45,31.47,37.77,32.04
16:37:07,33.19,31.19,15.16,-39.48,22.32,34.62,40.63,38.34
16:37:07,33.19,31.19,19.45,-38.91,24.32,34.62,40.34,38.34
16:37:07,33.19,31.19,20.31,-38.34,24.32,34.62,40.34,38.34
16:37:07,33.19,31.19,20.03,-37.77,22.89,34.62,40.34,38.05
16:37:07,33.19,31.19,18.02,-37.48,20.31,34.62,40.34,38.05
16:37:07,33.19,30.9,15.74,-37.48,18.02,34.62,40.34,38.05
16:37:07,23.46,22.89,12.3,-38.05,15.45,33.19,38.91,37.48
16:37:07,-11.16,-6.87,7.44,-39.77,11.73,3.15,8.58,10.59
16:37:07,-15.16,-13.73,1.72,-42.06,7.44,-11.73,-7.44,-13.45
16:37:07,-15.16,-13.73,-4.29,-44.92,2.57,-11.73,-7.44,-13.73
16:37:07,-15.16,-13.73,-6.01,-46.35,0.86,-11.73,-7.44,-13.73
16:37:07,-15.16,-13.73,-2.86,-45.78,3.43,-11.73,-7.44,-13.73
16:37:07,-15.16,-13.73,2.29,-45.49,6.58,-11.73,-7.44,-13.73
16:37:07,-15.16,-13.73,8.3,-45.49,9.73,-11.73,-7.44,-13.73
16:37:07,-10.3,-4.86,13.73,-46.06,12.02,-11.16,-6.58,-13.73
16:37:07,32.04,45.49,20.03,-45.49,14.31,25.18,32.04,14.88
16:37:07,43.77,67.23,26.61,-44.06,17.17,58.08,64.09,56.93
16:37:07,44.06,67.52,32.9,-43.49,19.45,58.36,64.37,58.65
16:37:07,44.06,67.52,34.9,-42.92,18.88,58.65,64.37,58.65
16:37:07,43.77,67.52,33.47,-42.92,15.45,58.36,64.37,58.65
16:37:07,43.77,67.23,30.33,-41.77,12.87,58.36,64.37,58.36
16:37:07,43.77,67.52,26.04,-41.2,9.73,58.36,64.37,58.65
16:37:07,43.49,66.38,20.6,-40.63,6.87,58.36,64.37,58.65
16:37:07,13.45,32.9,16.88,-39.2,5.44,41.77,47.78,48.64
16:37:07,-14.59,-5.44,15.16,-36.62,5.44,-8.01,-2,1.43
16:37:07,-14.88,-8.01,14.02,-34.05,5.15,-13.73,-8.01,-8.01
16:37:07,-14.88,-8.01,15.45,-31.19,6.58,-13.73,-8.01,-8.01
16:37:07,-14.88,-8.01,19.17,-29.47,9.16,-13.73,-8.01,-8.01
16:37:07,-14.88,-8.01,22.6,-28.61,11.16,-13.73,-8.01,-8.01
16:37:07,-14.88,-8.01,26.89,-28.04,14.02,-13.73,-8.01,-8.01
16:37:07,-14.88,-8.01,31.47,-27.18,16.88,-13.73,-8.01,-8.01
16:37:07,0.86,8.58,35.19,-26.04,19.45,-7.44,-1.14,-5.15
16:37:07,33.76,35.48,38.05,-25.18,21.74,29.75,35.76,28.61
16:37:07,35.19,37.48,40.34,-24.89,23.75,36.62,41.77,40.34
16:37:07,35.19,37.48,43.49,-24.89,25.75,36.62,41.77,40.34
16:37:07,35.19,37.48,43.2,-25.46,24.89,36.62,41.77,40.34
16:37:07,35.19,37.48,40.91,-25.75,22.89,36.62,41.77,40.34
16:37:07,35.19,37.48,36.34,-27.18,19.17,36.62,42.06,40.63
16:37:07,35.19,37.48,30.9,-28.61,14.59,36.62,42.06,40.63
16:37:07,26.89,30.61,27.18,-28.61,12.3,36.05,41.2,40.34
16:37:07,-20.31,-1.14,25.18,-27.75,11.44,10.3,16.31,20.89
16:37:07,-29.75,-8.01,22.32,-27.47,10.01,-7.72,-2,-5.72
16:37:07,-29.75,-8.3,17.17,-27.75,8.01,-8.01,-2,-7.15
16:37:07,-29.75,-8.3,16.02,-26.61,9.44,-8.01,-2,-7.15
16:37:07,-29.75,-8.3,17.74,-25.46,12.59,-8.01,-2,-7.15
16:37:07,-29.75,-8.3,19.45,-24.6,15.45,-8.01,-2,-7.15
16:37:07,-29.75,-8.3,22.89,-23.17,19.17,-8.01,-2,-7.15
16:37:07,-28.9,-6.58,26.89,-21.46,22.89,-8.01,-2,-7.15
16:37:07,0.29,13.45,29.75,-21.17,24.89,4.58,11.73,0.86
16:37:07,17.74,24.32,31.47,-21.46,26.04,29.47,35.76,27.47
16:37:07,17.74,24.6,34.9,-21.46,28.32,30.33,36.62,30.33
16:37:07,18.02,24.6,36.05,-21.74,28.32,30.61,36.62,30.33
16:37:07,18.02,24.6,34.05,-22.03,27.18,30.61,36.62,30.33
16:37:07,18.02,24.6,31.76,-21.74,26.04,30.61,36.62,30.33
16:37:07,18.02,24.6,28.9,-21.46,24.03,30.61,36.62,30.33
16:37:07,18.02,24.6,25.46,-21.17,21.74,30.61,36.62,30.33
16:37:07,4.29,8.87,20.6,-21.74,18.88,26.32,32.33,28.04
16:37:07,-18.31,-18.6,14.88,-23.46,15.16,-5.15,1.14,-0.86
16:37:07,-18.88,-22.32,8.58,-25.46,10.87,-13.16,-7.15,-13.73
16:37:07,-18.88,-22.32,3.72,-27.18,7.15,-13.16,-7.15,-13.73
16:37:07,-18.88,-22.32,0.86,-29.18,4.58,-13.16,-7.15,-13.73
16:37:07,-18.88,-22.32,0,-30.33,4.01,-13.16,-7.15,-13.73
16:37:07,-18.88,-22.32,1.72,-30.9,4.86,-13.16,-7.15,-13.73
16:37:07,-18.88,-22.32,4.01,-31.76,6.01,-13.16,-7.15,-13.73
16:37:07,-14.59,-16.59,5.44,-33.19,6.29,-12.59,-6.01,-13.73
16:37:07,13.16,14.31,6.87,-34.05,6.58,14.59,23.17,8.01
16:37:07,18.88,25.46,8.58,-34.62,6.87,32.33,40.05,32.9
16:37:07,18.88,25.75,11.44,-35.48,7.15,32.33,40.05,33.19
16:37:07,18.88,25.75,11.73,-36.34,6.01,32.33,40.05,33.19
16:37:07,18.88,25.75,10.3,-37.48,3.15,32.33,40.05,33.19
16:37:07,18.88,25.75,6.58,-38.91,-0.57,32.33,40.05,33.19
16:37:07,18.88,25.75,1.43,-40.63,-5.44,32.33,40.05,33.19
16:37:07,18.31,23.17,-3.72,-42.06,-9.44,32.33,39.77,33.19
16:37:07,1.43,-0.86,-7.72,-42.92,-12.02,21.17,27.47,25.75
16:37:07,-9.44,-18.6,-10.01,-43.77,-14.59,-6.01,-1.43,-2.29
16:37:07,-9.44,-19.45,-14.02,-44.35,-17.74,-8.01,-3.72,-6.87
16:37:07,-9.44,-19.45,-17.45,-44.35,-18.88,-8.01,-3.72,-6.87
16:37:07,-9.44,-19.45,-17.17,-43.77,-17.74,-8.01,-3.72,-6.87
16:37:07,-9.44,-19.45,-15.74,-44.35,-16.59,-8.01,-3.72,-6.87
16:37:07,-9.44,-19.45,-13.45,-44.63,-14.88,-8.01,-3.72,-6.87
16:37:07,-9.44,-19.45,-10.87,-44.92,-12.87,-8.01,-3.72,-6.87
16:37:07,4.29,-6.58,-8.87,-45.78,-12.3,-2.29,2,-4.01
16:37:07,34.62,19.17,-6.58,-46.35,-11.73,32.9,35.48,28.32
16:37:07,36.05,22.03,-3.43,-46.63,-10.87,39.77,41.48,40.34
16:37:07,36.05,22.03,-0.29,-46.92,-9.44,39.77,41.48,40.34
16:37:07,36.05,22.03,-0.29,-47.21,-10.59,39.77,41.48,40.34
16:37:07,36.05,22.03,-2.57,-47.49,-12.59,39.77,41.48,40.34
16:37:07,36.05,22.03,-6.29,-48.07,-15.16,39.77,41.48,40.34
16:37:07,36.05,22.03,-11.16,-48.92,-18.31,39.77,41.48,40.34
16:37:07,28.61,16.31,-14.88,-48.92,-20.6,39.48,40.91,40.34
16:37:07,-18.88,-14.02,-18.6,-49.21,-22.89,12.87,18.6,23.17
16:37:07,-29.75,-22.89,-23.17,-49.5,-25.18,-8.01,0,-3.72
16:37:07,-29.75,-23.17,-27.75,-50.07,-27.47,-8.3,0,-4.86
16:37:07,-29.75,-23.17,-29.47,-49.5,-27.75,-8.3,0,-4.86
16:37:07,-29.75,-23.17,-28.61,-48.64,-25.46,-8.3,0,-4.86
16:37:07,-29.75,-23.17,-26.61,-48.07,-22.6,-8.3,0,-4.86
16:37:07,-29.75,-23.17,-24.6,-48.07,-19.74,-8.3,0,-4.86
16:37:07,-28.61,-21.46,-22.03,-47.78,-17.45,-8.3,0,-4.86
16:37:07,6.58,3.43,-19.45,-46.92,-15.16,7.15,17.17,3.43
16:37:07,27.18,18.6,-16.88,-46.35,-12.87,36.34,45.49,33.19
16:37:07,27.18,18.88,-14.31,-46.06,-10.3,37.19,46.35,36.34
16:37:07,27.18,18.88,-11.73,-45.78,-8.58,37.19,46.35,36.34
16:37:07,27.18,18.88,-11.73,-45.78,-8.58,37.19,46.35,36.34
16:37:07,27.18,18.88,-12.3,-45.2,-8.87,37.19,46.35,36.34
16:37:07,27.18,18.88,-14.02,-44.63,-10.01,37.19,46.35,36.34
16:37:07,27.18,18.88,-16.31,-43.77,-10.3,37.19,46.35,36.34
16:37:07,14.88,6.87,-19.17,-43.2,-10.3,34.05,42.63,34.62
16:37:07,-7.44,-15.74,-22.32,-43.2,-10.87,6.87,12.02,8.3
16:37:07,-8.3,-18.88,-26.89,-43.49,-11.73,-0.86,2.29,-4.86
16:37:07,-8.3,-18.88,-32.04,-44.06,-12.87,-0.86,2.29,-4.86
16:37:07,-8.3,-18.88,-33.47,-44.92,-12.3,-0.86,2.29,-4.86
16:37:07,-8.3,-18.88,-33.76,-45.49,-11.73,-0.86,2.29,-4.86
16:37:07,-8.3,-18.88,-32.9,-46.06,-10.3,-0.86,2.29,-4.86
16:37:07,-8.3,-18.88,-30.61,-46.63,-8.87,-0.86,2.29,-4.86
16:37:07,-4.58,-13.73,-28.9,-47.78,-7.72,-0.29,3.15,-4.86
16:37:07,17.45,16.31,-26.89,-48.35,-6.58,23.75,30.04,16.59
16:37:07,21.74,28.9,-24.32,-48.64,-5.15,38.91,44.63,40.63
16:37:07,21.74,28.9,-20.6,-48.35,-2.57,38.91,44.63,40.91
16:37:07,21.74,28.9,-19.45,-48.07,-2.29,38.91,44.63,40.91
16:37:07,21.74,28.9,-20.6,-47.49,-3.43,38.91,44.63,40.91
16:37:07,21.74,28.9,-22.6,-47.49,-5.44,38.91,44.63,40.91
16:37:07,21.74,28.9,-26.61,-48.35,-9.44,38.91,44.63,40.91
16:37:07,20.89,27.18,-30.61,-49.5,-12.87,38.91,44.63,40.91
16:37:07,-7.44,-4.58,-33.76,-49.78,-15.16,24.89,29.47,32.04
16:37:07,-25.18,-29.18,-36.05,-48.92,-16.31,-10.01,-5.15,-3.15
16:37:07,-25.18,-30.04,-38.91,-48.35,-18.31,-12.59,-8.3,-9.16
16:37:07,-25.18,-30.04,-40.91,-47.78,-19.45,-12.59,-8.3,-9.16
16:37:07,-25.18,-30.04,-40.34,-47.21,-18.02,-12.59,-8.3,-9.16
16:37:07,-25.18,-30.04,-37.48,-45.78,-14.59,-12.59,-8.3,-9.16
16:37:07,-25.18,-30.04,-32.9,-43.49,-10.01,-12.59,-8.3,-9.16
16:37:07,-25.18,-30.04,-27.75,-40.63,-5.15,-12.59,-8.3,-9.16
16:37:07,-8.58,-13.16,-22.32,-37.77,-0.86,-7.44,-2,-6.87
16:37:07,24.6,12.87,-16.59,-35.19,2.86,26.04,31.47,22.32
16:37:07,26.04,14.88,-10.87,-33.19,6.58,32.9,37.19,33.47
16:37:07,26.04,14.88,-7.15,-32.9,8.3,32.9,37.19,33.47
16:37:07,26.04,14.88,-7.15,-33.76,6.87,32.9,37.19,33.19
16:37:07,26.04,14.88,-10.3,-35.76,3.43,32.9,37.19,33.19
16:37:07,26.04,14.88,-14.88,-37.77,0,32.9,37.19,33.19
16:37:07,26.04,14.88,-19.74,-38.62,-2.86,32.9,37.19,33.19
16:37:07,21.46,10.59,-23.17,-38.91,-4.86,32.62,36.62,33.19
16:37:07,-8.58,-8.87,-25.46,-38.62,-6.01,12.59,16.88,19.45
16:37:07,-14.59,-12.87,-28.32,-38.05,-7.44,-4.01,1.14,-2.29
16:37:07,-14.59,-12.87,-31.76,-37.48,-9.16,-4.01,1.14,-3.43
16:37:07,-14.59,-12.87,-31.76,-36.62,-8.3,-4.01,1.14,-3.43
16:37:07,-14.59,-12.87,-30.04,-35.48,-6.58,-4.01,1.14,-3.43
16:37:07,-14.59,-12.87,-27.47,-35.48,-5.15,-4.01,1.14,-3.43
16:37:07,-14.59,-12.87,-24.6,-36.34,-4.01,-4.01,1.14,-3.43
16:37:07,-13.73,-11.44,-22.6,-37.48,-3.15,-4.01,1.14,-3.43
16:37:07,14.88,9.73,-20.6,-37.77,-2,10.87,18.02,5.44
16:37:07,31.76,27.75,-18.88,-38.34,-1.43,41.2,46.35,37.77
16:37:07,32.04,28.61,-16.59,-38.91,-0.29,42.34,47.21,41.48
16:37:07,32.04,28.61,-12.87,-38.34,1.72,42.34,47.21,41.48
16:37:07,32.04,28.61,-12.59,-38.05,1.43,42.63,47.49,41.48
16:37:07,32.04,28.61,-13.73,-37.48,0,42.63,47.49,41.48
16:37:07,32.04,28.61,-16.59,-37.48,-1.72,42.63,47.49,41.48
16:37:07,32.04,28.61,-20.31,-38.05,-4.01,42.63,47.49,41.48
16:37:07,16.31,13.45,-23.17,-38.62,-6.01,39.48,43.77,40.05
16:37:07,-15.16,-14.59,-26.61,-39.77,-8.3,8.3,13.45,12.3
16:37:07,-16.31,-18.6,-30.61,-41.2,-10.3,-1.72,3.43,-3.43
16:37:07,-16.31,-18.6,-35.19,-42.34,-12.87,-1.72,3.43,-3.72
16:37:07,-16.31,-18.6,-36.62,-42.06,-12.02,-1.72,3.43,-3.72
16:37:07,-16.31,-18.6,-34.33,-41.48,-9.16,-1.72,3.43,-3.72
16:37:07,-16.31,-18.6,-30.61,-40.91,-6.01,-1.72,3.43,-3.72
16:37:07,-16.31,-18.6,-25.75,-39.48,-2,-1.72,3.43,-3.72
16:37:07,-12.02,-12.3,-21.17,-37.77,1.14,-1.14,4.29,-3.43
16:37:07,16.31,18.6,-17.74,-37.77,2.86,23.75,31.19,17.17
16:37:07,21.74,29.18,-14.59,-37.77,4.01,39.77,46.06,40.05
16:37:07,21.74,29.18,-9.73,-36.62,6.29,39.77,46.06,40.34
16:37:07,21.46,29.18,-7.44,-35.76,6.87,39.77,46.06,40.34
16:37:07,21.46,28.9,-6.01,-34.62,6.29,39.48,45.78,40.34
16:37:07,21.46,28.9,-5.44,-33.47,5.44,39.48,45.78,40.34
16:37:07,21.46,28.9,-6.58,-32.62,3.15,39.48,45.78,40.34
16:37:07,21.17,28.61,-8.3,-31.19,1.14,39.48,45.78,40.05
16:37:07,11.73,18.6,-9.44,-30.04,0.29,31.76,38.05,35.19
16:37:07,3.43,3.15,-12.02,-29.47,-0.86,6.01,13.16,9.16
16:37:07,3.43,2.29,-15.45,-28.32,-2.86,3.43,10.3,3.72
16:37:07,3.43,2.29,-16.31,-26.89,-3.15,3.43,10.3,3.72
